Neural Network,Random Forest
1.435915476,0.060705199
0.848385469,0.162305453
0.758418731,0.042913745
0.729478374,0.012774768
0.566908382,0.064326011
0.531113149,0.050292544
0.381514902,0.042809194
0.076035131,0.002130504
0.031637418,-0.000818094
0.029711063,-0.000117368
0.026247537,-0.002682493
0.005986669,-0.000505573
0.00416312,-0.000420911
-0.004779267,0.000966939
-0.024055834,0.001383877
-0.045372056,0.001460318
